Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"selectOptionByValue(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/select_Pilih OpsiSesuaiTidak Sesuai_1""), ""0"", true)",Chrome 145.0.7632.160,,,11-03-2026 11:14:16,11-03-2026 11:14:17,1.463s,PASSED
"click(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/button_Draft""))",Chrome 145.0.7632.160,,,11-03-2026 11:14:17,11-03-2026 11:14:18,0.744s,PASSED
delay(10),Chrome 145.0.7632.160,,,11-03-2026 11:14:18,11-03-2026 11:14:28,10.020s,PASSED
"doubleClick(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/button_OUTSTANDING PETTY CASH""))",Chrome 145.0.7632.160,,,11-03-2026 11:14:28,11-03-2026 11:14:29,0.639s,PASSED
"click(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/button_Add""))",Chrome 145.0.7632.160,,,11-03-2026 11:14:29,11-03-2026 11:14:30,0.786s,PASSED
"click(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/button_Add""))",Chrome 145.0.7632.160,,,11-03-2026 11:14:30,11-03-2026 11:14:30,0.734s,PASSED
"setText(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/input_Action_b3-b3-b8-l3_0-198_0-Deskripsi""), ""Meja"")",Chrome 145.0.7632.160,,,11-03-2026 11:14:30,11-03-2026 11:14:32,1.564s,PASSED
"setText(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/input_Action_b3-b3-b8-l3_0-205_0-TanggalClaim""), ""26-02-2022"")",Chrome 145.0.7632.160,,,11-03-2026 11:14:32,11-03-2026 11:14:33,0.841s,PASSED
"setText(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/input_Action_b3-b3-b8-l3_0-198_0-b4-Input_Mask""), ""10000"")",Chrome 145.0.7632.160,,,11-03-2026 11:14:33,11-03-2026 11:14:34,0.998s,PASSED
"setText(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/input_Action_b3-b3-b8-l3_0-198_0-Input_Tang_a3d538""), ""26-02-2022"")",Chrome 145.0.7632.160,,,11-03-2026 11:14:34,11-03-2026 11:14:35,1.292s,PASSED
"setText(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/input_Action_b3-b3-b8-l3_0-198_0-b5-Input_Mask""), ""10000"")",Chrome 145.0.7632.160,,,11-03-2026 11:14:35,11-03-2026 11:14:36,1.333s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/select_Pilih OpsiSesuaiTidak Sesuai_2""), ""0"", true)",Chrome 145.0.7632.160,,,11-03-2026 11:14:36,11-03-2026 11:14:38,1.332s,PASSED
"setText(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/input_Lihat Dokumen_b3-b3-b8-l3_0-198_1-Deskripsi""), ""Kursi"")",Chrome 145.0.7632.160,,,11-03-2026 11:14:38,11-03-2026 11:14:39,1.508s,PASSED
